Date,Actual,Predictions,County_Name
2021-09-17,-1.2802866799690515,-1.3168580688531009,Newport County (Rhode Island)
2021-09-18,-1.2825670888137801,-1.321881232255056,Newport County (Rhode Island)
2021-09-19,-1.285417599869691,-1.3269711112618792,Newport County (Rhode Island)
2021-09-20,-1.2881052245795495,-1.3321098601356431,Newport County (Rhode Island)
2021-09-21,-1.2893268721749398,-1.3374158098463003,Newport County (Rhode Island)
2021-09-22,-1.292543877509468,-1.3427560782837413,Newport County (Rhode Island)
2021-09-23,-1.2966974793337949,-1.348130116348338,Newport County (Rhode Island)
2021-09-24,-1.3001588141874008,-1.3535384731397193,Newport County (Rhode Island)
2021-09-25,-1.3030907684163373,-1.3589808741080702,Newport County (Rhode Island)
2021-08-26,-13.884106364783973,-13.265294218915786,Providence County (Rhode Island)
2021-08-27,-13.917457344138128,-13.268990770877366,Providence County (Rhode Island)
2021-08-28,-13.974182514150751,-13.266166847575569,Providence County (Rhode Island)
2021-08-29,-13.998615466058558,-13.261372983720221,Providence County (Rhode Island)
2021-08-30,-13.999104125096714,-13.256021607110014,Providence County (Rhode Island)
2021-08-31,-14.017673168546647,-13.250158400228203,Providence County (Rhode Island)
2021-09-01,-14.03990715478275,-13.24383650392266,Providence County (Rhode Island)
2021-09-02,-14.066701958708311,-13.237316028659281,Providence County (Rhode Island)
2021-09-03,-14.094718410229262,-13.230440348781183,Providence County (Rhode Island)
2021-09-04,-14.121513214154824,-13.223454658025036,Providence County (Rhode Island)
2021-09-05,-14.148674512359001,-13.21678967694727,Providence County (Rhode Island)
2021-09-06,-14.172903856334242,-13.210928334656613,Providence County (Rhode Island)
2021-09-07,-14.190414138534837,-13.206191340831445,Providence County (Rhode Island)
2021-09-08,-14.201856904344993,-13.202110683092267,Providence County (Rhode Island)
2021-09-09,-14.221443987457752,-13.19731122546346,Providence County (Rhode Island)
2021-09-10,-14.25239239320764,-13.192536007519648,Providence County (Rhode Island)
2021-09-11,-14.282282037708189,-13.187296506378644,Providence County (Rhode Island)
2021-09-12,-14.307162927067639,-13.174261149625346,Providence County (Rhode Island)
2021-09-13,-14.332003094840575,-13.160861265301564,Providence County (Rhode Island)
2021-09-14,-14.34654070122572,-13.147073546017877,Providence County (Rhode Island)
2021-09-15,-14.364376756118418,-13.132834595675071,Providence County (Rhode Island)
2021-09-16,-14.393085474610091,-13.118187299869676,Providence County (Rhode Island)
2021-09-17,-14.420206051227757,-13.102907907663283,Providence County (Rhode Island)
2021-09-18,-14.45082868428554,-13.087451379297319,Providence County (Rhode Island)
2021-09-19,-14.48031111292096,-13.071837292978895,Providence County (Rhode Island)
2021-09-20,-14.504866229588306,-13.056178456472788,Providence County (Rhode Island)
2021-09-21,-14.521399193712588,-13.044545272266836,Providence County (Rhode Island)
2021-09-22,-14.539642464470417,-13.032753597812844,Providence County (Rhode Island)
2021-09-23,-14.583010954106772,-13.02089852725964,Providence County (Rhode Island)
2021-09-24,-14.606588752697805,-13.009014555543555,Providence County (Rhode Island)
2021-09-25,-14.641324265993402,-12.997112870211515,Providence County (Rhode Island)
2021-08-26,-4.265464022478316,-4.2471306594006375,Sussex County (Delaware)
2021-08-27,-4.2773140041536015,-4.25378824301213,Sussex County (Delaware)
2021-08-28,-4.277680498432219,-4.260457924781552,Sussex County (Delaware)
2021-08-29,-4.287942338233497,-4.2670595952847705,Sussex County (Delaware)
2021-08-30,-4.295842326017022,-4.2735968512714395,Sussex County (Delaware)
2021-08-31,-4.308995398460724,-4.280064461105697,Sussex County (Delaware)
2021-09-01,-4.309769108604471,-4.286525531395127,Sussex County (Delaware)
2021-09-02,-4.334649997963921,-4.292975811435592,Sussex County (Delaware)
2021-09-03,-4.346418536466181,-4.299430669157436,Sussex County (Delaware)
2021-09-04,-4.347110803436902,-4.305853483109626,Sussex County (Delaware)
2021-09-05,-4.355418007085556,-4.312284798470092,Sussex County (Delaware)
2021-09-06,-4.36034531905363,-4.318681127265731,Sussex County (Delaware)
2021-09-07,-4.3606710917457345,-4.325034622042751,Sussex County (Delaware)
2021-09-08,-4.376796840004887,-4.331403811727356,Sussex County (Delaware)
2021-09-09,-4.37765199332166,-4.337726570643688,Sussex County (Delaware)
2021-09-10,-4.387099401392678,-4.344059465854502,Sussex County (Delaware)
2021-09-11,-4.387547338844321,-4.350318464208767,Sussex County (Delaware)
2021-09-12,-4.387954554709451,-4.356561767655446,Sussex County (Delaware)
2021-09-13,-4.405098342631429,-4.362813245533159,Sussex County (Delaware)
2021-09-14,-4.409903489839964,-4.368985921895702,Sussex County (Delaware)
2021-09-15,-4.410840086329763,-4.375173966188591,Sussex County (Delaware)
2021-09-16,-4.437105509630655,-4.381330947643549,Sussex County (Delaware)
2021-09-17,-4.437716333428351,-4.387501008188161,Sussex County (Delaware)
2021-09-18,-4.438367878812558,-4.393587362558983,Sussex County (Delaware)
2021-09-19,-4.438734373091176,-4.399655079227048,Sussex County (Delaware)
2021-09-20,-4.439182310542819,-4.405677673035804,Sussex County (Delaware)
2021-09-21,-4.439711691167488,-4.411750948316971,Sussex County (Delaware)
2021-09-22,-4.467035875717718,-4.417808855667794,Sussex County (Delaware)
2021-09-23,-4.467728142688439,-4.4238494332248255,Sussex County (Delaware)
2021-09-24,-4.484831209023904,-4.429874969828753,Sussex County (Delaware)
2021-09-25,-4.485767805513703,-4.43588579245682,Sussex County (Delaware)
2021-08-29,0.16520747648328382,0.1542103840560407,Unknown County (Delaware)
2021-08-30,0.1640265504744065,0.15210903644775364,Unknown County (Delaware)
2021-08-31,0.16296778922506816,0.1499446412467188,Unknown County (Delaware)
2021-09-01,0.16215335749480797,0.14775619379845062,Unknown County (Delaware)
2021-09-02,0.15995439182310545,0.14554574110271357,Unknown County (Delaware)
2021-09-03,0.1587327442277151,0.14332111293360728,Unknown County (Delaware)
2021-09-04,0.15832552836258496,0.14108763149051917,Unknown County (Delaware)
2021-09-05,0.1577147045648899,0.13884857197307277,Unknown County (Delaware)
2021-09-06,0.15694099442114262,0.1366068001809384,Unknown County (Delaware)
2021-09-07,0.15677810807509063,0.13436369783895707,Unknown County (Delaware)
2021-09-08,0.15498635826851814,0.13211639914745843,Unknown County (Delaware)
2021-09-09,0.15433481288430995,0.129871045105736,Unknown County (Delaware)
2021-09-10,0.15299100052938064,0.1276238487642256,Unknown County (Delaware)
2021-09-11,0.15217656879912045,0.1253849427717616,Unknown County (Delaware)
2021-09-12,0.15164718817445133,0.12314839082902673,Unknown County (Delaware)
2021-09-13,0.15001832471393084,0.1209097918865274,Unknown County (Delaware)
2021-09-14,0.14920389298367065,0.11868234909274478,Unknown County (Delaware)
2021-09-15,0.14855234759946245,0.11645470159898563,Unknown County (Delaware)
2021-09-16,0.14525389909190867,0.11422623530532072,Unknown County (Delaware)
2021-09-17,0.14476524005375246,0.11199561966190308,Unknown County (Delaware)
2021-09-18,0.1443173026021094,0.10977390846746116,Unknown County (Delaware)
2021-09-19,0.1439915299100053,0.10755557482263067,Unknown County (Delaware)
2021-09-20,0.1436657572179012,0.1053419492772587,Unknown County (Delaware)
2021-09-21,0.14354359245836212,0.10313323653132156,Unknown County (Delaware)
2021-09-22,0.14158895630573765,0.10093086948465457,Unknown County (Delaware)
2021-09-23,0.14175184265178975,0.098728707137964,Unknown County (Delaware)
2021-09-24,0.14048947346988638,0.09659552868333832,Unknown County (Delaware)
2021-09-25,0.13996009284521727,0.09446787712807692,Unknown County (Delaware)
2021-08-29,-0.49464511137353906,-0.4364487330086453,Unknown County (Rhode Island)
2021-08-30,-0.49611108848800756,-0.4489027068092335,Unknown County (Rhode Island)
2021-08-31,-0.4973327360833979,-0.461210317243149,Unknown County (Rhode Island)
2021-09-01,-0.5516146109052409,-0.47359263625096215,Unknown County (Rhode Island)
2021-09-02,-0.5549130594127947,-0.486077147862779,Unknown County (Rhode Island)
2021-09-03,-0.5730341654110844,-0.4986082296367189,Unknown County (Rhode Island)
2021-09-04,-0.5747851936311439,-0.5111491271356965,Unknown County (Rhode Island)
2021-09-05,-0.5758846764669951,-0.5236394191189242,Unknown County (Rhode Island)
2021-09-06,-0.5769434377163334,-0.5363945175509464,Unknown County (Rhode Island)
2021-09-07,-0.5776764262735676,-0.5496854455064144,Unknown County (Rhode Island)
